Season,Rank,Player,Team,Pos,Round,Pick,pred_proba,Recommendation,NBA,NBA_YOS
2015-16,1,Ben Bentil,Providence,G,2.0,51.0,0.9273496240601503,NBA Potential,1.0,1.0
2015-16,2,Wade Baldwin IV,Vanderbilt,G,1.0,17.0,0.9268496240601504,NBA Potential,1.0,3.0
2015-16,3,Jamal Murray,Kentucky,G,1.0,7.0,0.9198496240601504,NBA Potential,1.0,9.0
2015-16,4,Malik Beasley,Florida State,G,1.0,19.0,0.9198496240601504,NBA Potential,1.0,9.0
2015-16,5,Patrick McCaw,UNLV,G,2.0,38.0,0.9018901098901099,NBA Potential,1.0,5.0
2015-16,6,Jakob Poeltl,Utah,F,1.0,9.0,0.9013880855986119,NBA Potential,1.0,10.0
2015-16,7,Dejounte Murray,Washington,G,1.0,29.0,0.9007781954887217,NBA Potential,1.0,8.0
2015-16,8,Marquese Chriss,Washington,F,1.0,8.0,0.8883496240601503,NBA Potential,1.0,6.0
2015-16,9,Marcus Georges-Hunt,Georgia Tech,G,0.0,0.0,0.8871115288220548,NBA Potential,1.0,2.0
2015-16,10,Domantas Sabonis,Gonzaga,G,1.0,11.0,0.8753496240601504,NBA Potential,1.0,10.0
2015-16,11,Denzel Valentine,Michigan State,G,1.0,14.0,0.8708496240601503,NBA Potential,1.0,5.0
2015-16,12,Brandon Ingram,Duke,F,1.0,2.0,0.870452380952381,NBA Potential,1.0,10.0
2015-16,13,Pascal Siakam,New Mexico State,G,1.0,27.0,0.8641829573934835,NBA Potential,1.0,10.0
2015-16,14,Tyrone Wallace,California,G,2.0,60.0,0.8613020050125314,NBA Potential,1.0,4.0
2015-16,15,Kyle Collinsworth,Brigham Young,G,0.0,0.0,0.851388085598612,NBA Potential,1.0,1.0
2015-16,16,Henry Ellenson,Marquette,G,1.0,18.0,0.8506353383458647,NBA Potential,1.0,5.0
2015-16,17,Jarrod Uthoff,Iowa,G,0.0,0.0,0.8484210526315789,NBA Potential,1.0,2.0
2015-16,18,Kris Dunn,Providence,G,1.0,5.0,0.8484210526315789,NBA Potential,1.0,10.0
2015-16,19,Daniel Hamilton,Connecticut,G,2.0,56.0,0.8467781954887215,NBA Potential,1.0,2.0
2015-16,20,Jaylen Brown,California,F,1.0,3.0,0.8424051796157059,NBA Potential,1.0,10.0
2015-16,21,Chinanu Onuaku,Louisville,F,2.0,37.0,0.8397012987012985,NBA Potential,1.0,2.0
2015-16,22,Brice Johnson,North Carolina,F,1.0,25.0,0.8394833236938499,NBA Potential,1.0,2.0
2015-16,23,Tyler Ulis,Kentucky,G,2.0,34.0,0.8379051796157059,NBA Potential,1.0,3.0
2015-16,24,Georges Niang,Iowa State,F,2.0,50.0,0.8371115288220553,NBA Potential,1.0,9.0
2015-16,25,Demetrius Jackson,Notre Dame,G,2.0,45.0,0.8341353383458646,NBA Potential,1.0,3.0
2015-16,26,Gary Payton II,Oregon State,G,0.0,0.0,0.832340466550993,NBA Potential,1.0,10.0
2015-16,27,Deyonta Davis,Michigan State,F,2.0,31.0,0.8317012987012987,NBA Potential,1.0,3.0
2015-16,28,Taurean Prince,Baylor,F,1.0,12.0,0.8231573163678426,NBA Potential,1.0,10.0
